date,value
2021-12-29,4526.0
2021-12-30,6539.0
2021-12-31,3937.0
2022-01-01,18.0
2022-01-03,3699.0
2022-01-04,3251.0
2022-01-05,3874.0
2022-01-06,4835.0
2022-01-07,1549.0
2022-01-08,5084.0
2022-01-09,147.0
2022-01-10,2431.0
2022-01-11,4383.0
2022-01-12,5953.0
2022-01-13,1134.0
2022-01-14,2619.0
2022-01-15,335.0
2022-01-16,117.0
2022-01-17,5036.0
2022-01-18,4300.0
2022-01-19,3626.0
2022-01-20,3618.0
2022-01-21,2437.0
2022-01-22,232.0
2022-01-23,13115.0
2022-01-24,612.0
2022-01-25,9581.0
2022-01-26,3299.0
2022-01-27,5467.0
2022-01-28,111.0
2022-01-29,1485.0
2022-01-30,14256.0
2022-01-31,1211.0
2022-02-01,165.0
2022-02-02,7098.0
2022-02-03,6184.0
2022-02-04,1507.0
2022-02-05,2737.0
2022-02-06,7394.0
2022-02-07,3222.0
2022-02-08,2803.0
2022-02-09,4152.0
2022-02-10,2908.0
2022-02-11,10814.0
2022-02-12,3246.0
2022-02-13,53.0
2022-02-14,4238.0
2022-02-15,4275.0
2022-02-16,4764.0
2022-02-17,1331.0
2022-02-18,1889.0
2022-02-19,3560.0
2022-02-20,590.0
2022-02-21,2301.0
2022-02-22,9642.0
2022-02-23,2391.0
2022-02-24,3951.0
2022-02-25,4441.0
2022-02-26,1139.0
2022-02-27,652.0
2022-02-28,4860.0
2022-03-01,3702.0
2022-03-02,4468.0
2022-03-03,3512.0
2022-03-04,4009.0
2022-03-05,7097.0
2022-03-06,1364.0
2022-03-07,5468.0
2022-03-08,3615.0
2022-03-09,3853.0
2022-03-10,8146.0
2022-03-11,2829.0
2022-03-12,926.0
2022-03-13,274.0
2022-03-14,5252.0
2022-03-15,6529.0
2022-03-16,4628.0
2022-03-17,4011.0
2022-03-18,1906.0
2022-03-19,1846.0
2022-03-20,77.0
2022-03-21,2149.0
2022-03-22,3310.0
2022-03-23,922.0
2022-03-24,11722.0
2022-03-25,4522.0
2022-03-26,3279.0
2022-03-27,3740.0
2022-03-28,3595.0
2022-03-29,3469.0
2022-03-30,1858.0
2022-03-31,3578.0
2022-04-01,19980.0
2022-04-02,146.0
2022-04-03,8.0
2022-04-04,3338.0
2022-04-05,4018.0
2022-04-06,5221.0
2022-04-07,5910.0
2022-04-08,4109.0
2022-04-09,519.0
2022-04-10,138.0
2022-04-11,4441.0
2022-04-12,1694.0
2022-04-13,195.0
2022-04-14,3838.0
2022-04-15,6551.0
2022-04-16,2846.0
2022-04-17,432.0
2022-04-18,3573.0
2022-04-19,11184.0
2022-04-20,4399.0
2022-04-21,14955.0
2022-04-22,3627.0
2022-04-23,491.0
2022-04-24,43.0
2022-04-25,3045.0
2022-04-26,4243.0
2022-04-27,4095.0
2022-04-28,63.0
2022-04-29,2599.0
2022-04-30,367.0
2022-05-01,463.0
2022-05-02,1054.0
2022-05-03,959.0
2022-05-04,387.0
2022-05-05,3141.0
2022-05-06,9012.0
2022-05-07,523.0
2022-05-08,250.0
2022-05-09,3746.0
2022-05-10,4154.0
2022-05-11,3427.0
2022-05-12,3445.0
2022-05-13,2554.0
2022-05-14,131.0
2022-05-15,126.0
2022-05-16,2720.0
2022-05-17,4720.0
2022-05-18,12909.0
2022-05-19,2947.0
2022-05-20,146.0
2022-05-21,545.0
2022-05-22,363.0
2022-05-23,6242.0
2022-05-24,4052.0
2022-05-25,7889.0
2022-05-26,1977.0
2022-05-27,2894.0
2022-05-28,3295.0
2022-05-29,42.0
2022-05-30,1222.0
2022-05-31,2069.0
2022-06-01,2856.0
2022-06-02,2441.0
2022-06-03,18647.0
2022-06-04,2139.0
2022-06-05,552.0
2022-06-06,1111.0
2022-06-07,5893.0
2022-06-08,1603.0
2022-06-09,4725.0
2022-06-10,4862.0
2022-06-11,10131.0
2022-06-12,238.0
2022-06-13,16.0
2022-06-14,74.0
2022-06-15,5837.0
2022-06-16,185.0
2022-06-17,206.0
2022-06-18,2368.0
2022-06-19,12206.0
2022-06-20,6538.0
2022-06-21,8580.0
2022-06-22,51.0
2022-06-23,14932.0
2022-06-24,824.0
2022-06-25,122.0
2022-06-26,5120.0
2022-06-27,307.0
2022-06-28,2319.0
2022-06-29,5881.0
2022-06-30,4256.0
2022-07-01,7779.0
2022-07-02,3123.0
2022-07-03,143.0
2022-07-04,11689.0
