date,value
2021-12-19,0.16763999999999998
2021-12-20,2.629111
2021-12-21,3.73745
2021-12-22,2.490632
2021-12-23,4.4306
2021-12-24,1.549533
2021-12-25,2.718053
2021-12-26,0.9556939999999999
2021-12-27,4.14475
2021-12-28,2.81167
2021-12-29,3.275843
2021-12-30,4.64315
2021-12-31,2.760937
2022-01-01,0.01512
2022-01-03,2.74464
2022-01-04,2.38783
2022-01-05,2.85304
2022-01-06,3.548145
2022-01-07,1.05229
2022-01-08,3.648326
2022-01-09,0.10422000000000001
2022-01-10,1.7434100000000001
2022-01-11,3.1953199999999997
2022-01-12,4.20149
2022-01-13,0.80274
2022-01-14,1.8697
2022-01-15,0.22845
2022-01-16,0.08263
2022-01-17,3.67868
2022-01-18,3.100511
2022-01-19,2.47589
2022-01-20,2.65244
2022-01-21,1.73749
2022-01-22,0.16837
2022-01-23,9.577021
2022-01-24,0.44547
2022-01-25,7.0129
2022-01-26,2.38529
2022-01-27,4.18153
2022-01-28,0.08035
2022-01-29,1.09822
2022-01-30,10.851472
2022-01-31,0.89792
2022-02-01,0.11256
2022-02-02,4.7846400000000004
2022-02-03,4.161248
2022-02-04,1.086341
2022-02-05,2.117
2022-02-06,4.72048
2022-02-07,2.067789
2022-02-08,1.83604
2022-02-09,2.934588
2022-02-10,1.92096
2022-02-11,6.87153
2022-02-12,2.31198
2022-02-13,0.04023
2022-02-14,2.732812
2022-02-15,3.08628
2022-02-16,3.04684
2022-02-17,0.87541
2022-02-18,1.29104
2022-02-19,2.5516199999999998
2022-02-20,0.40999
2022-02-21,1.53834
2022-02-22,6.33263
2022-02-23,1.751162
2022-02-24,2.50967
2022-02-25,2.99438
2022-02-26,0.80638
2022-02-27,0.43712
2022-02-28,3.402794
2022-03-01,2.46298
2022-03-02,2.90393
2022-03-03,2.39932
2022-03-04,2.70688
2022-03-05,4.925243
2022-03-06,0.89775
2022-03-07,3.5241599999999997
2022-03-08,2.46128
2022-03-09,2.589324
2022-03-10,5.324323
2022-03-11,1.95816
2022-03-12,0.62341
2022-03-13,0.20366
2022-03-14,3.29745
2022-03-15,4.26902
2022-03-16,3.29649
2022-03-17,2.6347
2022-03-18,1.24195
2022-03-19,1.18774
2022-03-20,0.05564
2022-03-21,1.4525970000000001
2022-03-22,2.16404
2022-03-23,0.6151599999999999
2022-03-24,7.67853
2022-03-25,2.88523
2022-03-26,2.329777
2022-03-27,2.47806
2022-03-28,2.53608
2022-03-29,2.4564500000000002
2022-03-30,1.24819
2022-03-31,2.51815
2022-04-01,13.239768999999999
2022-04-02,0.10476999999999999
2022-04-03,0.00564
2022-04-04,2.3824899999999998
2022-04-05,2.55892
2022-04-06,3.5120780000000003
2022-04-07,3.84672
2022-04-08,2.74995
2022-04-09,0.36303
2022-04-10,0.09095
2022-04-11,3.002004
2022-04-12,1.13563
2022-04-13,0.13776
2022-04-14,2.71732
2022-04-15,4.399155
2022-04-16,1.93357
2022-04-17,0.28989
2022-04-18,2.47038
2022-04-19,7.24581
2022-04-20,2.93364
2022-04-21,10.5655049
2022-04-22,2.5019489999999998
