date,type,value
2021-06-28,FlightsClimbed,7.0
2021-06-28,DistanceWalkingRunning,4.26097
2021-06-29,StepCount,3336.0
2021-06-29,FlightsClimbed,10.0
2021-06-29,DistanceWalkingRunning,2.16053
2021-06-30,StepCount,2518.0
2021-06-30,FlightsClimbed,6.0
2021-06-30,DistanceWalkingRunning,1.572109
2021-07-01,StepCount,7736.0
2021-07-01,FlightsClimbed,7.0
2021-07-01,DistanceWalkingRunning,4.9086
2021-07-02,StepCount,4606.0
2021-07-02,FlightsClimbed,5.0
2021-07-02,DistanceWalkingRunning,3.205172
2021-07-03,StepCount,4720.0
2021-07-03,FlightsClimbed,8.0
2021-07-03,DistanceWalkingRunning,3.154937
2021-07-04,StepCount,114.0
2021-07-04,FlightsClimbed,1.0
2021-07-04,DistanceWalkingRunning,0.08415
2021-07-05,StepCount,6930.0
2021-07-05,FlightsClimbed,8.0
2021-07-05,DistanceWalkingRunning,4.573483
2021-07-06,StepCount,6811.0
2021-07-06,FlightsClimbed,7.0
2021-07-06,DistanceWalkingRunning,4.811078
2021-07-07,StepCount,7393.0
2021-07-07,FlightsClimbed,10.0
2021-07-07,DistanceWalkingRunning,4.851886
2021-07-08,StepCount,8720.0
2021-07-08,FlightsClimbed,6.0
2021-07-08,DistanceWalkingRunning,5.915408
2021-07-09,StepCount,5278.0
2021-07-09,FlightsClimbed,8.0
2021-07-09,DistanceWalkingRunning,3.56029
2021-07-10,StepCount,14203.0
2021-07-10,FlightsClimbed,6.0
2021-07-10,DistanceWalkingRunning,8.901249
2021-07-11,StepCount,3149.0
2021-07-11,FlightsClimbed,10.0
2021-07-11,DistanceWalkingRunning,2.133915
2021-07-12,StepCount,6571.0
2021-07-12,FlightsClimbed,9.0
2021-07-12,DistanceWalkingRunning,4.3087
2021-07-13,StepCount,6369.0
2021-07-13,FlightsClimbed,13.0
2021-07-13,DistanceWalkingRunning,4.0269
2021-07-14,StepCount,5705.0
2021-07-14,FlightsClimbed,9.0
2021-07-14,DistanceWalkingRunning,3.98018
2021-07-15,StepCount,1029.0
2021-07-15,FlightsClimbed,2.0
2021-07-15,DistanceWalkingRunning,0.713586
2021-07-16,StepCount,8427.0
2021-07-16,FlightsClimbed,5.0
2021-07-16,DistanceWalkingRunning,5.70589
2021-07-17,StepCount,338.0
2021-07-17,FlightsClimbed,4.0
2021-07-17,DistanceWalkingRunning,0.23854
2021-07-18,StepCount,326.0
2021-07-18,FlightsClimbed,1.0
2021-07-18,DistanceWalkingRunning,0.23042
2021-07-19,StepCount,2511.0
2021-07-19,FlightsClimbed,3.0
2021-07-19,DistanceWalkingRunning,1.6988640000000002
2021-07-20,StepCount,1109.0
2021-07-20,FlightsClimbed,4.0
2021-07-20,DistanceWalkingRunning,0.8006
2021-07-21,StepCount,5700.0
2021-07-21,FlightsClimbed,3.0
2021-07-21,DistanceWalkingRunning,4.0443299999999995
2021-07-22,StepCount,9616.0
2021-07-22,FlightsClimbed,7.0
2021-07-22,DistanceWalkingRunning,6.5229015
2021-07-23,StepCount,2902.0
2021-07-23,FlightsClimbed,3.0
2021-07-23,DistanceWalkingRunning,2.00721
2021-07-24,StepCount,10603.0
2021-07-24,FlightsClimbed,6.0
2021-07-24,DistanceWalkingRunning,6.87601
2021-07-25,StepCount,4538.0
2021-07-25,FlightsClimbed,2.0
2021-07-25,DistanceWalkingRunning,3.37807
2021-07-26,StepCount,5448.0
2021-07-26,FlightsClimbed,10.0
2021-07-26,DistanceWalkingRunning,3.609452
2021-07-27,StepCount,5871.0
2021-07-27,FlightsClimbed,8.0
2021-07-27,DistanceWalkingRunning,3.91851
2021-07-28,StepCount,4055.0
2021-07-28,FlightsClimbed,6.0
2021-07-28,DistanceWalkingRunning,2.83411
2021-07-29,StepCount,5270.0
2021-07-29,FlightsClimbed,9.0
2021-07-29,DistanceWalkingRunning,3.58189
2021-07-30,StepCount,4480.0
2021-07-30,FlightsClimbed,5.0
2021-07-30,DistanceWalkingRunning,2.916788
2021-07-31,StepCount,2750.0
2021-07-31,FlightsClimbed,7.0
2021-07-31,DistanceWalkingRunning,1.84425
2021-08-01,StepCount,15536.0
2021-08-01,FlightsClimbed,11.0
2021-08-01,DistanceWalkingRunning,11.69346
2021-08-02,StepCount,5259.0
2021-08-02,FlightsClimbed,5.0
2021-08-02,DistanceWalkingRunning,3.76371
2021-08-03,StepCount,4576.0
2021-08-03,FlightsClimbed,4.0
2021-08-03,DistanceWalkingRunning,3.09195
2021-08-04,StepCount,2935.0
2021-08-04,FlightsClimbed,12.0
2021-08-04,DistanceWalkingRunning,2.09475
2021-08-05,StepCount,4744.0
2021-08-05,FlightsClimbed,9.0
2021-08-05,DistanceWalkingRunning,3.2329499999999998
2021-08-06,StepCount,5073.0
2021-08-06,FlightsClimbed,8.0
2021-08-06,DistanceWalkingRunning,3.40075
2021-08-07,StepCount,7046.0
2021-08-07,FlightsClimbed,7.0
2021-08-07,DistanceWalkingRunning,5.03026
2021-08-08,StepCount,673.0
2021-08-08,FlightsClimbed,6.0
2021-08-08,DistanceWalkingRunning,0.48175
2021-08-09,StepCount,1694.0
2021-08-09,FlightsClimbed,5.0
2021-08-09,DistanceWalkingRunning,1.22593
2021-08-10,StepCount,7960.0
2021-08-10,FlightsClimbed,6.0
2021-08-10,DistanceWalkingRunning,5.40609
2021-08-11,StepCount,5743.0
2021-08-11,FlightsClimbed,8.0
2021-08-11,DistanceWalkingRunning,4.111495
2021-08-12,StepCount,8982.0
